DOI,Title,Author,Journal,Publication Year,Abstract Note,LitmapsId,Cited By,References,PubMedId
10.1037/0096-3445.136.2.241,"Attention control, memory updating, and emotion regulation temporarily reduce the capacity for executive control.","B. Schmeichel,",Journal of experimental psychology. General,2007,"This research tested the hypothesis that initial efforts at executive control temporarily undermine subsequent efforts at executive control. Four experiments revealed that controlling the focus of visual attention (Experiment 1), inhibiting predominant writing tendencies (Experiment 2), taking a working memory test (Experiment 3), or exaggerating emotional expressions (Experiment 4) undermined performance on subsequent tests of working memory span, reverse digit span, and response inhibition, respectively. The results supported a limited resource model of executive control and cast doubt on competing accounts based on mood, motivation, or task difficulty. Prior efforts at executive control are a significant contextual determinant of the operation of executive processes.",90873245,626,61,17500649
10.1080/00221309.2021.1922341,A within-subjects test of ego depletion and potential moderators,"D. Calvillo, Katie Rodriguez, Theresa Ngan Nguyen,",The Journal of general psychology,2021,"Abstract Ego depletion, the finding that initial exertion of self-control hinders performance on subsequent self-control tasks, has become a controversial topic. There have been discrepant results from empirical studies and different conclusions drawn from meta-analyses and multilab studies. We examined ego depletion and three potential moderators in a preregistered experiment using a within-subjects design in order to overcome limitations of the standard between-subjects design. In two sessions separated by 1 week, participants (Nâ€‰=â€‰214) completed an ego depletion or control version of a Stroop task. Each Stroop task was followed by manipulation check questions and an antisaccade task. Participants also completed measures of lay theory of willpower, trait self-control, and action orientation. There was no significant evidence for ego depletion, and Bayes factors strongly favored the null hypotheses that there was no difference in antisaccade performance (accuracy or response time) after ego depletion and control Stroop tasks. Additionally, lay theory willpower, trait self-control, and action orientation were not significantly related to ego depletion effects. Exploratory between-subjects comparisons that omitted participants who responded at lower than chance accuracy levels, however, found significant ego depletion effects. These results provide further evidence that ego depletion effects are elusive.",128807541,2,39,33971802
10.1002/EJSP.828,Can't get over me: Ego depletion attenuates prosocial effects of perspective taking,"B. Fennis,",(missing journal),2011,"Many studies attest to the beneficial and prosocial effects of perspective taking. The present research tests the notion that such perspective taking is a process involving active self-regulation and, hence, that effects of perspective taking on prosocial behaviour are more pronounced when self-control resources are high, rather than low. Results confirmed this hypothesis. Across two experiments using acts of compliance as a specific form of prosocial behaviour, perspective-taking participants were more willing to comply with a request for help by the experimenter (experiment 1) and donated more time to a charitable cause (experiment 2) than participants who did not engage in perspective taking, but only when self-regulatory resources were in sufficient supply. Under conditions of ego depletion, the impact of perspective taking on compliance was attenuated. Copyright (C) 2011 John Wiley & Sons, Ltd.",139741225,36,39,
10.3389/FPSYG.2017.00568,Challenges to Ego-Depletion Research Go beyond the Replication Crisis: A Need for Tackling the Conceptual Crisis,"John H Lurquin, A. Miyake,",Front. Psychol.,2017,"One important line of self-control research concerns the phenomenon known as ego-depletion, the negative effect of performing a self-control task (Task 1) on performance on a subsequent self-control task (Task 2). Although a 2010 meta-analysis reported a moderate effect size (d = 0.62) for this phenomenon (Hagger et al., 2010), its replicability has since come under scrutiny with the publication of some replication failures (Xu et al., 2014; Lurquin et al., 2016), including a high-profile study involving 23 laboratories (Hagger et al., 2016). Some researchers even suggest that the ego-depletion effect might not be real and that the reported results primarily reflect publication bias (Carter and McCullough, 2014). This replication crisis has prompted a call for additional replication attempts involving large sample sizes and preregistration (Carter et al., 2015). Although such replication efforts are undoubtedly important, we submit that, unless some fundamental conceptual (and related methodological) issues are more satisfactorily addressed, attempts to evaluate the ego-depletion effect would unlikely be successful. In this article, we outline what we call the conceptual crisis for the ego-depletion literature, explain how these limitations undermine replication attempts, and suggest possible ways to alleviate these problems. We do so by noting some parallel problems that have faced cognitive psychologists studying attention, working memory (WM), and executive functions (EFs), in the hope that such insights might contribute to theoretical and empirical development in ego-depletion research.",176418533,90,51,28458647
10.1177/0146167206288008,Choice and Ego-Depletion: The Moderating Role of Autonomy,"Arlen C. Moller, E. Deci, R. Ryan,",Personality and Social Psychology Bulletin,2006,"The self-regulatory strength model maintains that all acts of self-regulation, self-control, and choice result in a state of fatigue called ego-depletion. Self-determination theory differentiates between autonomous regulation and controlled regulation. Because making decisions represents one instance of self-regulation, the authors also differentiate between autonomous choice and controlled choice. Three experiments support the hypothesis that whereas conditions representing controlled choice would be egodepleting, conditions that represented autonomous choice would not. In Experiment 3, the authors found significant mediation by perceived self-determination of the relation between the choice condition (autonomous vs. controlled) and ego-depletion as measured by performance.",185500169,507,50,16861307
10.1016/J.CONCOG.2017.09.007,"Depletion, moral identity, and unethical behavior: Why people behave unethically after self-control exertion.","Yan Wang, Guosen Wang, Qiuju Chen, Lin Li,",Consciousness and Cognition,2017,"Self-control enables people to resist short-term temptations in the service of long-term goals. Previous exertion of self-control leads to a state of ego depletion. Three studies demonstrated that ego depletion leads to a high level of unethical behavior. These studies also hypothesized and confirmed that depleted individuals behave unethically because of low moral identity. Study 1 found that depleted participants were more likely to over-report their performance than non-depleted participants. Study 2 revealed that depletion reduced people's moral identity, which in turn increased their propensity to engage in unethical behavior. Study 3 proved that priming moral identity eliminated the effect of depletion on cheating. Findings suggest that reduced moral identity accounts for the effect of self-control depletion on unethical behavior.",134622026,25,82,28966038
10.1027/1864-9335/A000348,"Development of a Within-Subject, Repeated-Measures Ego Depletion Paradigm: Inconsistent Results and Future Recommendations","ZoÃ« L. Francis, Marina Milyavskaya, Hause Lin, Michael Inzlicht,",Social Psychology,2018,"Ego depletion is under scrutiny for low replicability, possibly reflecting the limited statistical power available in between-subject
designs. In response, we created a within-subject, repeated-measures ego-depletion paradigm that repeatedly alternated depletion and
recovery manipulations. Each manipulation was followed by measuring subjective fatigue, mood, and self-control performance. Across 12
studies (N = 754), participants reliably reported having lower energy and mood after depleting manipulations compared to after recovery
manipulations. Depletion manipulations did not consistently affect behavioral self-control, although the depletion effect was meta-analytically
significant (d = .045). Furthermore, unintended fatigue and practice effects occurred over the course of the paradigm, systematically
interfering with the intended depletion effects. We recommend that depletion research takes advantage of within-subject designs across
multiple sessions to avoid spillover effects between measurements",17641369,21,90,
10.1002/EJSP.2055,"Dispositional optimism, optimism priming, and prevention of ego depletion","Yvo M. C. In den Bosch-Meevissen, M. Peters, H. Alberts,",(missing journal),2014,"Exerting self-control leads to a diminished capacity to carry out successive acts of self-control, a process termed ego depletion. The present study investigated whether dispositional optimism, priming of an optimistic orientation, or their interaction can counteract the ego depletion effect. A total of 160 participants performed a self-control-demanding weight-lifting task on two occasions. Half of the participants were depleted between the two weight-lifting tasks. Because depletion of self-regulatory resources can undermine optimism half of the participants in the depletion, and no-depletion condition were primed for an optimistic orientation before performing the second self-control task. Results demonstrated an interaction between dispositional optimism and optimism priming. Only in participants high in dispositional optimism did the optimism prime lead to undiminished persistence on the weight-lifting task. These results demonstrate that dispositional optimism may lead to improved goal persistence in the face of adversity only under conditions in which optimistic schemas are activated. Copyright Â© 2014 John Wiley & Sons, Ltd.",39477578,9,31,
10.1037/NPE0000082,Distributional Preferences and Ego Depletion,"Loukas Balafoutas, Rudolf Kerschbamer, Regine Oexl,","Journal of Neuroscience, Psychology, and Economics",2018,"By means of a laboratory experiment with 508 participants, we study the impact of ego depletion on revealed distributional preferences. Subjects are exposed to a social preference identification procedure in 2 consecutive weeks. In the treatment intervention, they accomplish an ego-depletion task before being exposed to the procedure in 1 of the 2 weeks, and in the control intervention they accomplish a control task. Half of the subjects are exposed to the intervention in Week 1 and the other half in Week 2. Our design allows us to cleanly identify 3 separate effects on social preferences: (a) the effect of exposing subjects to the social preference identification procedure a second time, (b) the effect of the intervention per se, and (c) the effect of ego depletion in particular. We find that only the intervention per se has an effect on social preferences for some types, whereas the ego-depletion task does not have a significant effect compared with the control task, and preferences display a considerable degree of stability over time.",96454003,6,51,
10.1016/J.JESP.2019.103942,Does ego depletion reduce judgment adjustment for both internally and externally generated anchors,"Lukas RÃ¶seler, Astrid SchÃ¼tz, Roy F. Baumeister, Ulrike Starker,",Journal of Experimental Social Psychology,2020,"Abstract   Ego depletion is a state in which people prefer to avoid mental effort, therefore possibly leading to increased reliance on heuristics. Effortful thinking has been shown to help reduce anchoring effects, in which people form social judgments by adjusting from an initial value (the anchor). We therefore predicted that ego depletion would reduce the amount of adjustment from an initial anchor, leaving the final judgment relatively close to the anchor value. In contrast to previous research by  Banker et al. (2017) , we excluded alternative explanations, such as social mechanisms. In particular, we tested adjustment from internally generated and externally provided anchors. We theorized that judgment adjustment processes are the same for both internal and external cues. The results showed that neither self-generated nor experimenter-provided anchors were affected by ego depletion, thus leaving social mechanisms as the prime alternative explanation. The data also showed that susceptibility to anchoring is not a trait because reactions to different anchors were not substantially intercorrelated. Further, providing externally or internally generated anchors did not make a fundamental difference. However, the loss of data was higher with self-generated anchors. Overall, the results suggest that researchers can confidently rely on experimenter-generated anchors.",130623392,3,47,
10.1037/XGE0000185,Does self-control improve with practice? Evidence from a six-week training program.,"E. Miles, P. Sheeran, Harriet M. Baird, Ian A. Macdonald, Thomas Llewelyn Webb, P. Harris,",Journal of experimental psychology. General,2016,"Can self-control be improved through practice? Several studies have found that repeated practice of tasks involving self-control improves performance on other tasks relevant to self-control. However, in many of these studies, improvements after training could be attributable to methodological factors (e.g., passive control conditions). Moreover, the extent to which the effects of training transfer to real-life settings is not yet clear. In the present research, participants (N = 174) completed a 6-week training program of either cognitive or behavioral self-control tasks. We then tested the effects of practice on a range of measures of self-control, including lab-based and real-world tasks. Training was compared with both active and no-contact control conditions. Despite high levels of adherence to the training tasks, there was no effect of training on any measure of self-control. Trained participants did not, for example, show reduced ego depletion effects, become better at overcoming their habits, or report exerting more self-control in everyday life. Moderation analyses found no evidence that training was effective only among particular groups of participants. Bayesian analyses suggested that the data were more consistent with a null effect of training on self-control than with previous estimates of the effect of practice. The implication is that training self-control through repeated practice does not result in generalized improvements in self-control. (PsycINFO Database Record",83546241,107,99,27359129
10.1371/JOURNAL.PONE.0260141,Do exhausted primary school students cheat more? A randomized field experiment,"TamÃ¡s Keller, H. J. Kiss,",PLoS ONE,2021,"Motivated by the two-decade-long scientific debate over the existence of the ego-depletion effect, our paper contributes to exploring the scope conditions of ego-depletion theory. Specifically, in a randomized experiment, we depleted studentsâ€™ self-control with a cognitively demanding task that required studentsâ€™ effort. We measured the effect of depleted self-control on a subsequent task that required self-control to not engage in fraudulent cheating behaviorâ€”measured with an incentivized dice-roll taskâ€”and tested ego-depletion in a large-scale preregistered field experiment that was similar to real-life situations. We hypothesized that treated students would cheat more. The data confirms the hypothesis and provides causal evidence of the ego-depletion effect. Our results provide new insights into the scope conditions of ego-depletion theory, contribute methodological information for future research, and offer practical guidance for educational policy.",79067749,4,22,34851960
10.4324/9781315175775-1,Ego Depletion,"M. Muraven, J. Buczny, K. Law,",The Oxford Handbook of Human Motivation,2019,"Self-control all too often fails. Despite people's best intentions and considerable negative outcomes, people often find themselves at the losing end of resisting temptation, combating urges, and changing their behavior. One reason for these failures may be that exerting self-control depletes a limited resource (ego depletion) that is necessary for the success of self-control. Hence, after exerting self-control, individuals are less able resist temptations, fight urges, or stop a behavior that results in a loss of self-control. This chapter reviews the evidence for this theory in a wide variety of domains and examines what behaviors appear to deplete ego strength and how depletion affects behavior. A comprehensive theory that examines how depletion operates is put forth and used to examine some factors that might moderate the depletion effect.",261482402,181,0,
10.1002/AB.21648,Ego-depletion and aggressive behavior.,"Christopher P. Barlett, Hannah Oliphant, W. Gregory, Dorian Jones,",Aggressive behavior,2016,"Multiple theoretical frameworks postulate that ego-depletion can influence aggressive behavior. Our experimental study assessed whether ego-depletion is related to aggressive behavioral change and whether provocation moderated this effect. Aggression was measured by asking participants to take raffle tickets from an ostensible partner. First, participants were randomly assigned to either high or low ego-depletion (by having them memorize a short or long number throughout the entire study) prior to engaging in the first ticket exchange. Participants were then either provoked (or not) by having their ""partner"" take more or fewer tickets than the partner originally requested. The ticket exchange occurred three times to assess behavioral change. Results showed that aggression was highest for ego depleted participants who were provoked. Implications are discussed in terms of the General Aggression Model and the Strength Model of Self-Control. Aggr. Behav. 42:533-541, 2016. Â© 2016 Wiley Periodicals, Inc.",216076811,35,25,26932532
10.1002/EJSP.285,Ego depletion and aggressive behavior: Is the inhibition of aggression a limited resource?,"T. Stucke, R. Baumeister,",(missing journal),2006,"If self-regulation is a limited resource, the capacity to inhibit aggressive behavior should be lower among people who have already exercised self-regulation. In Experiment 1, participants who had to resist the urge to eat tempting food later reacted more aggressively to an insult than other participants who were allowed to eat as much as they wanted. In Experiments 2 and 3, some participants had to self-regulate by making themselves concentrate on a boring film and stifling their physical and facial movements, and afterward they, too, responded more aggressively than controls. Experiment 3 also showed that the results were not due to differential moods and that one act of self-regulation (unrelated to aggression) was sufficient to enhance subsequent aggressive responses toward the experimenter.",127790222,277,32,
10.1016/J.OBHDP.2014.03.008,Ego depletion and its paradoxical effects on ethical decision making,"Kai Chi Yam, Xiao-Ping Chen, Scott J. Reynolds,",Organizational Behavior and Human Decision Processes,2014,"Whereas previous research has shown that ego depletion can lead to an increase in unethical behavior, we suggest that this effect hinges on the social consensus of the unethical behavior. Drawing from theories on social consensus and dual-process decision-making, we hypothesize and confirm that ego depletion is associated with increased unethical behavior of comparatively low social consensus. We then find that, as hypothesized, ego depletion is associated with decreased unethical behavior of high social consensus (Studies 1 and 2). Results further suggest that, controlling for state self-control resources, depleted participants are less likely to engage in unethical behavior of high social consensus as a result of increased subjective fatigue (Study 3). Taken together, our findings challenge a widely-held assumption about the negative effects of ego depletion on ethical decision making.",58895916,98,63,
10.1027/1864-9335/A000040,Ego-Depletion and Risk Behavior: Too Exhausted to Take a Risk,"Alexander Unger, D. Stahlberg,",(missing journal),2011,"Ego-depletion theory postulates the existence of a mental resource that is necessary for self-regulation. If the resource is diminished by a task involving self-control, achievement in subsequent self-control tasks will be impaired. Three experiments examined whether ego-depletion limits people’s intentionality regarding risk behavior (i.e., choosing an option that has a certain probability of resulting in an adverse outcome). It is assumed that people operating under ego-depletion lack the self-control to deal with these possibly negative outcomes and will, therefore, be prone to avoid risky alternatives, if the decision requires certain levels of responsibility and information processing (i.e., people will choose safe options in an investment scenario with actual pay-offs according to expected values). Results support the assumption that people become risk averse under ego-depletion even when controlling for the alternate assumption that ego-depletion strengthens an existing individual disposition toward risk taking.",103134184,51,47,
