Title,Author,Publication Year,Abstract Note
Body posture effects on self-evaluation: A self-validation approach,"P. Briñol, R. Petty, B. Wagner",2009,"Building on the notion of embodied attitudes, we examined how body postures can influence self-evaluations by affecting thought confidence, a meta-cognitive process. Specifically, participants were asked to think about and write down their best or worse qualities while they were sitting down with their backerect and pushing theirchest out (confident posture) or slouched forward with their back curved (doubtful posture). Then, participants completed a number of measures and reported their self-evaluations. In line with the self-validation hypothesis, we predicted and found that the effect of the direction of thoughts (positive/negative) on self-related attitudes was significantly greater when participants wrote their thoughts in the confident than in the doubtful posture. These postures did not influence the number or quality of thoughts listed, but did have an impact on the confidence with which people held their thoughts. Copyright # 2009 John Wiley & Sons, Ltd."
Could a woman be superman? Gender and the embodiment of power postures,"April H. Bailey, M. LaFrance, J. Dovidio",2017,"Physical postures can instill a sense of power in the self as well as communicate power to others. Recent work indicates that a target�s gender interferes with the rapid identification of power postures; men in low-power postures and women in high-power postures slow viewers� identification. We hypothesized that how long people enact low and high-power postures will vary as a function of their own gender and the gender of the person modeling the posture. We presented male and female participants with images of male and female models in low and high-power postures and asked them to enact the postures for an unspecific duration. We measured enacted duration, risky behavior, and felt power. The preregistered hypothesis that posture condition and participant gender would interact was not supported. Instead, overall, participants enacted the high-power postures longer than the low-power posture. Supporting the preregistered hypothesis that target gender would interact with posture condition and participant gender, only male participants� time in the postures was sensitive to posture and model gender combinations. Consistent with theories proposing greater rigidity of male gender roles, male participants enacted the low-power postures for the least amount of time when duplicating a female model in a low-power posture. Finally, we did not strongly replicate prior work, but found some support that enacting high-power postures led to riskier behavior and more felt power for some aspects of the sample in exploratory analyses."
CRSP special issue on power poses: what was the point and what did we learn?,"Joseph Cesario, Kai J. Jonas, Dana R. Carney",2017,"The possibility that holding an expansive nonverbal display for two minutes could affect a person�s behavioral, psychological, and physiological states was a provocative idea when first proposed (Carney, Cuddy, & Yap, Citation2010). Specifically, the notion that a static nonverbal expression could affect a person�s endocrine profile � namely their cortisol and testosterone levels � was so provocative it was almost preposterous. However, the field of social psychology took notice. Additional claims were then made about how such poses might positively impact a person�s life, particularly for people �with no resources and no technology and no status and no power� (Cuddy, Citation2012).

This exciting proposition ignited a wave of popular interest, evidenced in one way by the enormous popularity of a TED talk about the idea that has, at the end of 2016, already been viewed 38 million times. Beyond this specific finding, Carney et al. (Citation2010) hoped to offer an important theoretical contribution to theories of mind�body interaction such as the James�Lange theory of emotion (James, Citation1884; Lange, Citation1912) and Jamesian notions of ideomotor action (for a review, see Laird & Lacasse, Citation2014). This work hoped to offer support for a bidirectional link between a nonverbal display of a powerful-looking posture and the mental and physiological states that were indicative of possessing power.

This idea was, to put it mildly, subject to the hard glare of scientific inquiry not long after its debut. Approximately 5 years after the original paper was published, a conspicuous failure to replicate (Ranehill et al., Citation2015) caught the attention of many who were already skeptical � including Carney herself. A response (Carney, Cuddy, & Yap, Citation2015) to Ranehill et al. dutifully listed the many differences between the original 2010 paper and the 2015 failure to replicate that might have served as possible moderators. Further variations on the original power pose work were published, many by the original research team members � albeit based on data collected before the Ranehill publication � including work demonstrating that power posing could positively impact job interview performance (Cuddy, Wilmuth, Yap, & Carney, Citation2015).

At the same time, among some circles the idea became a shorthand for flashy social psychological work that could not be replicated (see, e.g., Andrew Gelman�s blog posts on the topic and additional failures to replicate such as Garrison, Tang, & Schmeichel, Citation2016). Further, it became increasingly clear to some authors of �power pose� work that effects were fragile at best, and likely not replicable as researchers across the world wanted to discuss minor differences between the original study and theirs � because their work did not replicate the original (Carney, Citation2016). Much of this work was never published. Perhaps the authors of the failed replications did not wish to throw fuel on the fire, but the fire was already burning when a p-curve analysis of the reply to Ranehill written by Carney et al. (Citation2015) suggested strongly that even though some papers showed effects, overall the body of work had no evidentiary value (Simmons & Simonsohn, Citation2015).

In this context, one purpose of this Special Issue by CRSP was to gather additional data � but this time transparent and preregistered � about the effects of power poses, including direct replications and tests of possible moderators. Our aim in this regard was to demonstrate the possibility of a different path than the unproductive cycle that social psychology has come to know all too well in recent years: a provocative finding with a small sample size, a failure to replicate, a rebuttal outlining all the possible reasons (some would say excuses) for the failure, researchers entrenching in their views and refusing to update based on new data, and so on. Part of our aim, then, was to show how researchers could coordinate and cooperate in an effective and efficient manner.

We admit that we were expecting this special issue to be a �final word� on the topic, providing a consistent and definitive answer on both the replication and novel effects. As the results rolled in, we initially believed that we were on exactly this path, as the preregistered predictions failed to show strong evidence of effects. We further expected that the issue-wide analysis, overseen by E.J. Wagenmakers, would confirm these expectations. However, a surprise awaited us as the novel Bayesian meta-analysis conducted by Gronau (Gronau et al., this issue) in fact showed a reliable non-zero effect on felt power, despite the majority of individual studies failing to reject the null hypothesis. (Unfortunately, the measure of felt power was the only measure included in enough papers to provide such a test, meaning that on the behavioral indicators we are left with the analyses from each individual study only.)

While this special issue did not provide the kind of definitive final word which we hoped for, we believe something much more interesting has emerged. This coordinated research effort has now outlined a clear program of research for anyone who wishes to take power poses seriously. Given the failures to find effects on actual power-related behaviors, and only a small effect on felt power, then the following questions must be answered for power poses to continue to be recommended: (1) is the self-reported measure of felt power anything beyond an experimental demand characteristic? and (2) are there conditions under which feeling powerful from power poses could lead to beneficial behavioral changes? (It seems unlikely to us that the latter question will be answered in the affirmative because if increases in self-reported power did lead to changes in behavior, such behavioral effects would likely have been observed in at least some of the articles published in this special issue.) One positive report of this special issue, then, is that there may be some value of power poses on self-reported sense of power, but whether this effect is a methodological artifact or is meaningful is an open question and this issue of CRSP has charted out a clear path toward future research for those interested in the topic.

At the same time, there was a more important goal for this Special Issue beyond merely providing additional data on a narrow research question. The broader goal was to demonstrate the benefits of peer-reviewed preregistration for enhancing the quality of research. The benefit of preregistration is clear. (And in other outlets we have described the benefits of peer-reviewed preregistration; see Jonas & Cesario, Citation2015.) While previous, non-preregistered replication projects often faced discussions about the validity of the obtained results, the approach taken, or the analyses applied, a preregistered and peer-reviewed route is fully transparent and also benefits from the input of reviewers. To this end, it is instructive to ask, how was any individual research proposal meaningfully changed by this process?

Without exception, the method, design, or analysis of every proposed study was modified in some way following the initial Stage 1 review. True experts in the fields of embodied cognition, hormones, and other relevant areas of expertise provided advice to researchers before they spent precious resources conducting these studies. It is certainly the case that the quality of the research was improved by the preregistration process, a point confirmed by the many emails and positive comments we received by the authors during and after the review process. Indeed, the authors� comments reveal something we have long argued: That the peer-review preregistration process changes the dynamic and tone of the review process from destructive and negative to constructive and exciting. Reviewers were not on the lookout for the many ways the researchers failed to do what they should have (often a reflection of reviewers trying to show how smart they are) but instead approached these proposals with the mindset of, �What would I do to make this the best research possible?� Refreshing indeed.

Most important, every researcher received feedback from a true expert in power poses � Dana Carney, first author on the original power pose manuscript (Carney et al., Citation2010). Carney reviewed all proposals with replication plans (direct or conceptual) and provided detailed feedback, including experimenter scripts, programmed experiments, stimuli, instructions on how to get the participants to hold the poses exactly, and nuanced and highly specific information not obvious from or included in the original publication. Researchers often bemoan learning such �insider information� only after the fact or not at all. The peer-review preregistration process at CRSP solves this problem and, as indicated from the comments of the researchers, is a much-appreciated change.Footnote1

A final benefit of the preregistration process at CRSP is the ability to coordinate among researchers prior to any researcher beginning data collection. This allowed us to make two contributions with this special issue that would not otherwise have been possible. First, we were able to ensure that multiple researchers had the basic conditions present in their studies � comparing expansive and contractive poses � which allowed us to provide an overall, cross-lab analysis testing replication of the basic power pose effect (Gronau et al., this issue). Moreover, we were able to have all researchers include a measure of whether participants had seen the TED talk on power poses, which allowed for cross-lab testing of a key potential moderator of power pose effects. This analysis, testing whether awareness influences the effect of expansive poses, appears as the final paper in this special issue and supports the possibility that the observed effect of powerful poses on felt power might be understood as a demand characteristic, as the effect was weaker with those participants unfamiliar with the TED talk (Gronau et al., Citationin press).

As a final note, it is important to state that all three of us have, at one point or other, supported the possibility that power poses could have meaningful effects on behavior, psychology, physiology, or cognition (e.g. Carney et al., Citation2010; Cesario & McDonald, Citation2013). It is also important to note that the research presented here did not include any tests of whether power poses could impact others, as an expression of nonverbal behavior (for a review, see Hogue & Lord, Citation2007; and specifically for power poses, Rennung, Blum, & G�ritz, Citation2016). This distinction is important because there is a long history of research in communication studies, anthropology, primatology, and social psychology on the way in which power and status are displayed to others in social context. This vast body of work on nonverbal displays is not to be confused with the power pose work and the focus of this special issue which was on embodied effects of these postures.
Moreover, it is obvious that the researchers contributing to this special issue framed their research as a productive and generative enterprise, not one designed to destroy or undermine past research. We are compelled to make this point given the tendency for researchers to react to failed replications by maligning the intentions or integrity of those researchers who fail to support past research, as though the desires of the researchers are fully responsible for the outcome of the research. (Curiously, the desires of researchers to find effects never play a role in these defensive arguments.) The very costly expense (in terms of time, money, and effort) required to chip away at published effects, needed to attain a �critical mass� of evidence given current publishing and statistical standards, is a highly inefficient use of resources in psychological science. Of course, science is to advance incrementally, but it should do so efficiently if possible. One cannot help but wonder whether the field would look different today had peer-reviewed preregistration been widely implemented a decade ago."
Do Better in Math: How Your Body Posture May Change Stereotype Threat Response,"E. Peper, R. Harvey, Lauren A. Mason, I. Lin",2018,"This study investigates posture on mental math performance.  125 students (M = 23.5 years) participated as part of a class activity. Half the students sat in an erect position while the other half sat in a slouched position and were asked to mentally subtract 7 serially from 964 for 30 seconds. They then reversed the positions before repeating the math subtraction task beginning at 834. They rated the math task difficulty on a scale from 0 (none) to 10 (extreme). The math test was rated significantly more difficult while sitting slouched (M = 6.2) than while sitting erect (M = 4.9) ANOVA [ F (1,243) = 17.06, p < 0.001]. Participants with the highest test anxiety, math difficulty and blanking out scores (TAMDBOS) rated the math task significantly more difficult in the slouched position (M = 7.0) as compared to the erect position (M = 4.8) ANOVA [ F (1,75) = 17.85, p < 0.001]. Tor the participants with the lowest 30% TAMDBOS, there was no significant difference between slouched (M=4.90) and erect positions (M = 4.0).  The participants with the highest TAMDBOS experienced significantly more somatic symptoms as compared with the lowest TAMDBOS. Discussed are processes such as stereotypic threat associated with a ‘defense reaction’ by which posture can affect mental math and inhibit abstract thinking. Moreover, clinicians who work with students who have learning difficulty may improve outcome if they include posture changes."
Does that pose become you? Testing the Effect of Body Postures on Self-Concept,"B. Jackson, Kelly A. Nault, L. Richman, Onawa P. LaBelle, N. Rohleder",2017,"Self-concept expansion predicts a range of adaptive outcomes. An intriguing possible cause of self-concept expansion is the posing of one�s body expansively, that is, �power posing.� In Study 1 (N = 65), we found that body expansion had an effect, of moderate magnitude (d = 0.58), on self-concept size in college women as measured by the Twenty Statements Test. Participants who were randomly assigned to hold expanded poses (vs. contracted) � under the guise of a cover story about holding different body positions to test the accuracy of wireless electrodes � wrote significantly more self-statements than those who assumed contracted positions. In pre-registered Study 2 we tested whether this finding was replicable and extended this research by aiming to characterize the process by which it occurred. One hundred and twenty-eight women students were randomly assigned to hold either expanded or contracted postures. They completed surveys measuring two general classes of potential mediators (�broaden-and-build� and �narrow-and-disrupt�), body self-objectification as a moderator, and four indices of self-concept size. Posture was not found to affect self-concept size, nor was it moderated by self-objectification. Though there was no effect on self-expansion, in exploratory analyses, assigned posture affected one of the broaden-and-build measures: psychological flexibility. Results of Study 2 could indicate that a mere two minutes of holding an expanded versus contracted body posture is not enough to induce changes in self-concept size; lack of main effects could in addition be due to a range of unmeasured confounders and/or the fragile and transient nature of the effect."
Do expansive or contractive body postures affect feelings of self-worth? High power poses impact state self-esteem,"Robert Körner, Lars-Eric Petersen, Astrid Schütz",2021,"The aim of the present studies was to investigate how high and low power posing influence self-esteem. High power posing is understood as the nonverbal expression of power through open, expansive body postures, whereas low power posing is marked by contractive and closed body postures. We conducted three studies with different methodological designs to test the effects of power posing. In Study 1, we randomly assigned 120 students to one of two power posing groups or a control group. All participants completed the State Self-Esteem Scale before and after the intervention. In Study 2, we examined effects outside the laboratory in a natural environment. We asked 49 participants to engage in high power posing in their homes. In Study 3, a total of 98 participants took part in an independent-groups posttest design (low power posing vs. high power posing). We also controlled for participants’ awareness of the research hypotheses. Consistent with our hypotheses, high power posing significantly affected self-esteem in all three studies. Contrary to our expectations, low power posing had no effect on self-esteem in Study 1. Possible explanations and implications are discussed."
"Dominance and prestige: Meta-analytic review of experimentally induced body position effects on behavioral, self-report, and physiological dependent variables.","K�rner, R., R�seler, L., Sch�tz, A., & Bushman, B. J.",2022,"Early research on body positions suggested that engaging in certain nonverbal displays can lead to changes in self-report, behavioral, and physiological dependent variables. Still, there has been intense criticism regarding the replicability of these effects. To determine what effects are valid, we conducted a meta-analytic review on body position studies. We used the dominance�prestige framework and distinguished between high-power poses representing dominance and upright postures representing prestige. We preregistered our meta-analysis, used the largest sample of studies thus far, and analyzed several theoretical and exploratory moderator variables. Based on 313 effects from 88 studies involving 9,779 participants, evidence was obtained for an overall statistically significant effect of body positions that was not trivial in size, g = 0.35 (95% CI [0.28,0.42]). Both the poses and postures showed effects for self-report and behavioral dependent variables but not for physiological dependent variables. However, sensitivity analyses suggested that effects for behavioral dependent variables were influenced by publication bias and/or outliers. Effects were noticeably larger in studies without cover stories and in studies that used within-subjects designs, suggesting that demand characteristics might partially explain the results. Whether participants were male or female, students or nonstudents, or from an individualistic or collectivistic culture did not make a difference. We also present an app that researchers can use to enter data from future studies and thus obtain up-to-date meta-analytical results on this topic. Future research should investigate whether high-power poses/upright postures increase effects and/or whether low-power poses/slumped postures decrease effects."
Dominance or prestige: A review of the effects of power poses and other body postures,"Robert K�rner,�Astrid Sch�tz,",2020,"Research on the effects of body positions has attracted enormous attention in recent years but has been plagued by failed replication attempts. Today, there is some confusion about which effects can be considered reliable. One problem that may have contributed to this confusion is the fact that most previous studies have not clearly distinguished between different types of body positions. We apply the dominance-prestige framework to distinguish between two types of body positions. On the basis of this reasoning, we argue that research on so-called power poses in fact has analyzed expansiveness as an indicator of dominance, whereas research on postures has focused on the straightness of the spine, which may be seen as a display of prestige. We review the literature and conclude that there is no clear evidence that short-term interventions involving body positions affect physiology or behavior. Still, there are effects on actors' self-perceptions. Repeatedly, studies on power poses have found effects on feelings of power and self-evaluations, and studies on postures have found effects on emotional experience. However, there is hardly any research that has directly compared the two types of interventions."
Do Open or Closed Postures Boost Creative performance? The Effects of Postural Feedback on Divergent and Convergent Thinking,"Nicolas Michinov, E. Michinov",2021,"Can an individual’s body posture (expansive or contractive) affect their creative thinking (divergent or convergent)? Based on embodied cognition and the debate about the impact of nonverbal physical postures expressing power on psychological and behavioral outcomes, five experiments were conducted. We tested the prediction that expansive postures would have a positive effect on creativity tasks that have no right or wrong answer or optimal solution (divergent thinking), whereas contractive postures would have a positive effect on tasks with a right answer or an optimal solution (convergent thinking). As predicted, results revealed a positive effect of expansive postures on performance of creativity tasks requiring divergent thinking, such as producing original ideas (Study 1) or objects, either by combining shapes to create an original toy (Study 2) or by combining fragments to produce an original drawing (Study 3). Conversely, a positive effect of contractive postures was found on performance of insight tasks requiring convergent thinking, in which participants had to associate elements to discover a unifying and correct solution (Study 4) or overcome initial task constraints to find an optimal solution to a problem (Study 5). These findings open up new avenues for research in embodied creativity."
Effects of two dominance manipulations on the stress response: Cognitive and embodied influences.,"Christian E. Deuter, Hartmut Schächinger, Daniel Best, Roland Neumann",2016,"In response to stress, physiological and mental resources are allocated towards those systems that are needed for rapid responding in terms of fight or flight. On the other hand, long term regenerative processes such as growth, digestion and reproduction are attenuated. Levels of the sex steroid testosterone are reduced in participants that suffer from chronic stress. However, beyond its role for reproductive functions, testosterone plays an important role in the regulation of social status and dominance, testosterone levels increase during competition or when the social status is challenged. The Trier Social Stress Test (TSST), a laboratory stressor with a substantial social-evaluative component, can provoke an increase in salivary testosterone levels. Still, so far the reported findings regarding acute stress effects on testosterone are equivocal, possibly due to moderating effects. In this study we experimentally manipulated social dominance in 56 healthy participants (28m) by two independent manipulations (body posture and cognitive role taking) and subjected them to the TSST. We analyzed salivary testosterone and cortisol levels as dependent measures for the endocrine stress response. The role taking manipulation interacted with the testosterone response: we found the strongest increase when participants had to put themselves in a dominant (vs. submissive) role. Our results suggest that transient changes in testosterone levels during stress reflect a response to status threat that is affected by social dominance."
Effects of various sitting and standing postures on arousal and valence,"Aya Takayama, H. Sekiya",2023,"According to research on the effects of posture on psychological states, high-power poses—with the body spread wide open—lead to high-arousal positive emotions, whereas low-power poses—with the body slumped and constricted—lead to low-arousal negative emotions. However, postures that lead to both high-arousal negative and low-arousal positive emotions have not been investigated yet. Although relative comparisons between postures have been made, the positioning of postures on the two-dimensional coordinates created by arousal and valence has not been clarified. Therefore, the purpose of this study was to explore and clarify which postures lead to the four types of emotions: high-arousal negative, high-arousal positive, low-arousal negative, and low-arousal positive. In Experiment 1, 29 participants (13 men and 16 women) adopted 12 sitting postures for 1 minute each. In Experiment 2, 25 participants (13 men and 12 women) adopted six sitting and six standing postures for 1 minute each. Arousal and valence were measured after each posture, and heart rate was measured during posture maintenance. Arousal and valence after adopting the postures were compared with the neutral arousal and valence. As a result, postures leading to high-arousal negative and low-arousal positive emotions were identified. In addition, postures leading to high-arousal positive emotions, which are the high-power poses, were identified. There were no differences in the magnitude of psychological effects between sitting and standing postures."
"Embodied power, testosterone, and overconfidence as a causal pathway to risk-taking","Richard Ronay, J. Tybur, Dian van Huijstee, M. Morssinkhof",2017,"Previous work has found that configuring participants into high-power versus low-power physical postures caused increases in subjective feelings of power, testosterone, and risk-taking as well as decreases in cortisol. We attempted to replicate and extend this pattern of findings by testing for the mediating role of testosterone and overconfidence in the relationship between power poses and risk-taking. We hypothesized that increases in testosterone in response to high-power poses would lead to increases in overconfidence, and that this indirect pathway would mediate the effect of power posing on risk-taking. We were unable to replicate the findings of the original study and subsequently found no evidence for our extended hypotheses. Overconfidence was unaffected by power posing and unrelated to testosterone, cortisol, and risk-taking. As our replication attempt was conducted in the Netherlands, we discuss the possibility that cultural differences may play a moderating role in determining the physiological and psychological effects of power posing."
Embodying Power,"Katie E Garrison, David Tang, B. Schmeichel",2016,"Adopting expansive (vs. contractive) body postures may influence psychological states associated with power. The current experiment sought to replicate and extend research on the power pose effect by adding another manipulation that embodies power—eye gaze. Participants (N = 305) adopted expansive (high power) or contractive (low power) poses while gazing ahead (i.e., dominantly) or down at the ground (i.e., submissively). Afterward, participants played a hypothetical ultimatum game, made a gambling decision, and reported how powerful and in charge they felt. Neither body posture nor eye gaze influenced the gambling decision, and contrary to the predictions, adopting an expansive pose reduced feelings of power. We also found that holding a direct gaze increased the probability of rejecting a low offer on the ultimatum game. We consider why power posing did not have the predicted effects."
