DOI,Title,Author,Journal,Publication Year,Abstract Note,LitmapsId,Cited By,References,PubMedId
10.1016/J.PAID.2022.111859,"“Do they fit together like the Joker and Harley Quinn?”: Joking, laughing, humor styles, and dyadic adjustment among people in long-term romantic relationships","Łukasz Jach, Dominika Kubicius, Peter K. Jonason, Łukasz Jach, Dominika Kubicius, Peter K. Jonason",(missing journal),2022,"While people value a good sense of humor in their potential romantic partners, we know comparatively less about the function of humor in long-term relationships. Using the survey method, we measured the production, appreciation, and quality of humor along with humor styles and dyadic adjustment in long-term relationships among 149 heterosexual couples. Men produced more jokes than women, but the sexes responded to their partners' jokes at the same frequency. Men also rated their jokes as funnier than the jokes of their partners. Partners were matched in aggressive and self-defeating humor styles. Laughing and humor quality ratings as well as humor styles had effects for men's and women's dyadic adjustment. We conclude that in long-term, romantic relationships, a sense of humor is part of the mechanisms involved in building relationships. • In long-term relationships, men produce more jokes than women. • Men rate their jokes as funnier than the jokes of their partners. • Men use more aggressive and self-enhancing humor styles than women. • Aggressive and self-defeating humor correlate between members of the couple. • Joking, laughing, humor ratings and humor styles had effects for dyadic adjustment.",232026554,3,30,
10.1108/GM-01-2021-0026,Do you know when you are the punchline? Gender-based disparagement humor and target perceptions,"Ayesha Tabassum, Len Karakowsky",(missing journal),2022,"Purpose This paper aims to draw upon extant theory and research to delineate the fundamental factors that impact how women evaluate disparaging humor directed at them. The conceptual framework presented outlines the most fundamental organizational-, interpersonal- and individual-level factors that influence the accuracy of such evaluation. Design/methodology/approach This is a conceptual paper that offers both a review of extant humor and gender research and theory and the presentation of a theoretical model that classifies sources of influence on evaluations of sexist humor from the perspective of the target. Findings Organization-, interpersonal- and individual-level factors are identified as sources of influence on women’s perception and evaluation of sexist humor leveled at them. This classification identifies factors including organizational power dynamics, egalitarian norms, interpersonal trust, target self-esteem and feminist identity. Research limitations/implications This paper offers a conceptual framework to guide future studies in more systematically examining the sources of influence on female targets’ capacity to recognize when they are the “punchline” of sexist humor. Practical implications The conceptual model developed in this paper offers important implications for managers and leaders in organizations in assisting targets to recognize instances of sexist humor directed at them. The aim is to arm potential victims with the knowledge necessary to foster awareness of their treatment in the workplace and to improve the accuracy of evaluation of workplace attitudes that may often nurture a sense of approval or apathy regarding displays of sexist humor. Originality/value This paper presents a novel classification of sources of influence on female targets’ evaluation of sexist humor in the workplace.",251423074,0,84,
10.3200/JRLP.143.1.67-77,Effect of Humor on Interpersonal Attraction and Mate Selection,"Elisabeth Mcgee, M. Shevlin",The Journal of psychology,2009,"The authors examined whether different levels of sense of humor would influence respondents' ratings about a potentially desirable partner. The authors used vignettes to predict that the targets who possessed a good sense of humor would receive significantly higher ratings in measures of attractiveness and suitability as a long-term partner than would those who possessed an average or no sense of humor. In an experimental design—with gender and humor as independent variables and level of attractiveness and suitability as a long-term partner as dependent variables—the authors analyzed the data using a multivariate analysis of variance. Results show that the targets with a good sense of humor received significantly higher ratings of attractiveness and suitability than did those with an average or no sense of humor. Furthermore, male participants rated female targets as significantly more attractive than female participants rated male targets. The authors found no significant interaction between gender and humor.",7113954,63,41,19157073
10.1177/1474704915608744,"Effects of humor production, humor receptivity, and physical attractiveness on partner desirability.","Michelle Tornquist, Dan Chiappe",Evolutionary Psychology,2015,"This study examined women’s and men’s preferences for humor production and humor receptivity in long-term and short-term relationships, and how these factors interact with physical attractiveness to influence desirability. Undergraduates viewed photographs of the opposite sex individuals who were high or low in physical attractiveness, along with vignettes varying in humor production and receptivity. Participants rated physical attractiveness and desirability for long-term and short-term relationships. The main findings were that individuals desired partners who were high in humor production and receptivity, though the effects were particularly pronounced for women judging long-term relationships. Moreover, humor production was more important than receptivity for women’s ratings of male desirability. Notably, we also found that ratings of physical attractiveness were influenced by the humor conditions. These results are discussed in terms of the fitness indicator, interest indicator, and encryption hypotheses of the evolutionary functions of humor.",34885196,13,30,
10.1016/J.JRP.2017.10.002,Exploring adult Playfulness: Examining the accuracy of personality judgments at zero-acquaintance and an LIWC analysis of textual information,"René T. Proyer, Kay Brauer",Journal of Research in Personality,2018,"Playfulness is an individual difference variable that allows people to (re)frame a situation in a way that it is experienced as entertaining, intellectually stimulating, and/or personally interesting. We examined the interpersonal perception of playfulness at zero-acquaintance. One-hundred forty-four participants wrote short self-descriptions which were (1) used by unacquainted judges to infer the author’s playfulness and (2) linguistically analyzed using the LIWC methodology. Lens model analyses revealed that playfulness finds its expression through language and that observers utilized linguistic cues to accurately judge playfulness in terms of self-other agreement (0.21–0.37) and consensus (0.31–0.44). The findings add knowledge regarding the interpersonal perception of playfulness, its linguistic expressions, and the applicability of the LIWC paradigm outside broad personality traits.",68477187,39,66,
10.1016/J.CHB.2020.106667,Exploring the influences of profile perceptions and different pick-up lines on dating outcomes on tinder: An online experiment,"Minhao Dai, Robert Robbins",Computers in Human Behavior,2021,"Online dating is more popular than ever, and Tinder has established a new platform for online daters to communicate. The current study examined how dating profiles and pick-up lines influenced young heterosexual adults' dating intention on Tinder. The study recruited a total of 237 young heterosexual adults to participate in a 2 (profile gender) x 2 (message humor) x 2 (message compliment) online experiment. In the experiment, participants viewed a Tinder profile of their opposite sex and one of the four manipulated pick-up lines. The results showed that perceived attractiveness and perceived positive attributes (e.g., kindness, intelligence) of the person in the dating profile were significant predictors of both long-term and short-term dating intentions in the overall sample. Among men, the dating profile's perceived attractiveness was the sole predictor of long-term and short-term dating intentions. The dating profile's perceived positive attributes were a significant predictor of both long-term and short-term dating intentions among women. More importantly, message humor and message compliment had significant interaction effects on both long-term and short-term dating intentions among women. We discuss the contributions and implications to research on online dating research, evolutionary social psychology, and hyperpersonal perspective.",143531269,7,43,
10.1016/J.PAID.2018.12.008,From four to nine styles: An update on individual differences in humor,"Sonja Heintz, Willibald Ruch",Personality and Individual Differences,2019,"Investigating individual differences in humor has become a popular topic for personality research. Three approaches to humor-related styles were proposed in the literature, namely Craik, Lampert, and Nelson's (1996) five bipolar styles of humorous conduct, Martin, Puhlik-Doris, Larsen, Gray, and Weir's (2003) four humor styles, and Ruch, Heintz, Platt, Wagner, and Proyer (2018) eight comic styles. The present study aims to determine how many styles can be empirically distinguished by comparing the Humor Styles Questionnaire (Martin et al., 2003) and the Comic Style Markers (Ruch, Heintz et al., 2018) in a sample of 570 German-speaking adults. The findings showed redundancies among three scales, namely the affiliative, self-enhancing, and aggressive humor styles and the comic styles fun, benevolent humor, and sarcasm. One humor style (self-defeating) and five comic styles (nonsense, wit, irony, satire, and cynicism) were distinguishable between the two measures. Thus, these findings suggest that at least nine styles should be distinguished. Eventually, developing a comprehensive model and valid measures of individual differences in humor in cumulative research programs is needed to understand how humor unfolds in our everyday lives and how it can be applied effectively in interventions.",115746023,41,27,
10.1007/S12144-020-00724-1,"Gender differences in humor-related traits, humor appreciation, production, comprehension, (neural) responses, use, and correlates: A systematic review","Jennifer Hofmann, Tracey Platt, Chloe Lau, Jorge Torres-Marín",Current Psychology,2020,"All available peer-reviewed literature on humor and gender differences (1977–2018) was screened and evaluated according to a priori defined QUALSYST criteria. The 77 papers surpassing a conservative quality criterion generated seven emergent themes around humor and gender differences. In short, men score higher in the aggressive humor style (M > F), while no other gender differences were consistently reported in humor-related traits (M = F). In the prediction of negative outcomes (stress, loneliness, depression), differential effects for humor in both genders are reported, but not consistently (M ≠ F). Gender differences exist for the appreciation of sexual humor (M > F), even in mixed target stimuli, and hostile humor (both genders appreciate opposite gender target stimuli more). Gender differences are absent in nonsense and neutral humor (M = F). For humor production, three samples showed no gender differences (M = F), while three samples suggested men are funnier (M > F) and one that women are funnier (M < F). No studies reporting differences in humor comprehension were identified (M = F). For humor use and communication, gender differences were found across methods (M ≠ F), yet, they depend on the context (e.g., workplace) and may thus resemble gender roles rather than “natural differences”. Moreover, few studies provide hard data on actual humor use and communication in different domains. When exposed to humor stimuli, different neural responses of men and women in prefrontal cortex activations (or selected parts) were found (M ≠ F). Also, self-report data suggest that both genders value a sense of humor in their partner (M = F), yet women typically value the humor production abilities more than humor receptivity, while for men, the woman’s receptivity of their own humor is more important than a woman’s humor production abilities, in line with gender stereotypes (M ≠ F). To conclude, much progress has been achieved in the past 15 years to overcome methodological flaws in early works on humor and gender differences. Importantly, attention should be paid to disentangling actual gender differences from gender role expectations and gender stereotypes. Methodologically, designs need to be checked for potential bias (i.e. self-reports may accentuate roles and stereotypes) and more hard data is needed to substantiate claims from self-report studies.",3074463,29,87,
10.1037/0033-2909.112.1.125,Gender differences in mate selection preferences: a test of the parental investment model.,A. Feingold,Psychological bulletin,1992,"Evolutionary-related hypotheses about gender differences in mate selection preferences were derived from Triver's parental investment model, which contends that women are more likely than men to seek a mate who possesses nonphysical characteristics that maximize the survival or reproductive prospects of their offspring, and were examined in a meta-analysis of mate selection research (questionnaire studies, analyses of personal advertisements). As predicted, women accorded more weight than men to socioeconomic status, ambitiousness, character, and intelligence, and the largest gender differences were observed for cues to resource acquisition (status, ambitiousness). Also as predicted, gender differences were not found in preferences for characteristics unrelated to progeny survival (sense of humor, ""personality""). Where valid comparisons could be made, the findings were generally invariant across generations, cultures, and research paradigms.",157108890,516,62,1388281
10.1515/HUMOR-2019-0016,Gender differences in the associations of reappraisal and humor styles,"Angela A. Sillars, Christina Nicolaides, Alexander Karan, Robert O. Wright, Megan L. Robbins, Elizabeth A. Davis",(missing journal),2020,"Reappraisal is an effective emotion regulation strategy that draws on cognitive processes–like changing one’s thoughts to change one’s feelings–that are similar to those implicated in humor. Yet, very little is known about the links between the dispositional tendency to use reappraisal and individuals’ humor styles (e. g. aggressive, affiliative, self-deprecating, self-enhancing). Importantly, there are gender differences both in emotion regulatory processes and in the use of humor styles. We examined gender differences in reported use of humor styles, the associations between reappraisal and humor styles, and whether gender moderated those associations. Participants ( N =250) were recruited through Amazon Mechanical Turk and self-reported their dispositional use of reappraisal and four humor styles. Men reported greater use of aggressive humor compared to women. Dispositional use of reappraisal was positively associated with self-enhancing humor. In addition, reappraisal use was positively related to greater use of affiliative humor, and this association was stronger for men than women. For men, greater use of reappraisal was associated with greater use of self-defeating humor, but reappraisal was negatively associated with self-defeating humor for women. Findings extend insight from prior work and suggest that both reappraisal and specific ways of using humor draw on aspects of self-regulatory competence rooted in cognitive change abilities, and the patterns of association differ in interesting ways for men and women.",52713826,5,33,
10.1353/SOF.2001.0085,"Getting a Laugh: Gender, Status, and Humor in Task Discussions","Dawn T. Robinson, L. Smith-Lovin",(missing journal),2001,"Humor is a quintessentially social phenomenon, since every joke requires both a teller and an audience. Here we ask how humor operates in task-oriented group discussions. We use theories about the functions of humor to generate hypotheses about who jokes, when and in what situations. Then we use event history techniques to analyze humor attempts and successes in six-person groups. Our results combine to suggest an image of joking as a status-related activity, with men, high participators, frequent interrupters, and those who are frequently interrupted all showing status-related patterns of humor use. We find substantial time dependence in humor use, in which humor may serve to form a status hierarchy early in a group's development and to dissipate task-related tension later in the discussion. We use these results, in conjunction with core insights on status and emotion from the group processes literature, to develop a new theory of humor use in task-oriented groups. The new theory generates predictions about the content of humor episodes, which we examine with additional data from our group discussions. Consistent with the theory, we find that a higher proportion of men's humor is differentiating, while a higher proportion of women's humor is cohesion-building. We find the same general pattern with our other status variable, participation.",223604689,209,81,
10.1080/10570314.2022.2142918,"Goals, Power and Similarity: Responses to Banter in Initial Interactions","S. Pang, Jennifer A. Samp",Western journal of communication,2022,"Bantering can serve as an important strategy for relationship management. Guided by Multiple Goals Theory (MGT), politeness, and relational power, this study examines banter as a playful means to signal the desire for a possible relationship and/or to reinforce a sense of self. Specifically, this study examines responses to banter during initial interactions after an affiliative tease. A total of 623 participants read two hypothetical interactions involving a banter and/or a non-banter response. Respondents then completed measures about their affiliative responses, facework intentions, perceived similarity, power, and communication satisfaction. Results indicated banter was a significant influencer on affiliative responses and less facework management. Perceived similarity mediated the relationship of perceived power and communication outcomes in the context of banter. Results provided support for Multiple Goals Theory for initial interactions. Future research on banter as a communication strategy is discussed.",249995115,0,47,
10.1111/J.1475-6811.1998.TB00174.X,Heterosexual romantic preferences: The importance of humor and physical attractiveness for different types of relationships,"Duane E. Lundy, Josephine C. H. Tan, M. Cunningham",(missing journal),1998,"This study examined the effects of expressions of humor and physical attractiveness on desire for future interaction in various types of heterosexual relationships. Humor was manipulated using interview transcripts containing humorous self-deprecating responses: physical attractiveness was manipulated using photographs. Men were found to emphasize physical attractiveness more than did women for dating, sexual intercourse, and a serious relationship. Consistent with the Social Transformation Model of Humor introduced in this article, individuals, particularly men, expressing humor were rated as more desirable than nonhumorous individuals for a serious relationship and marriage, but only when these individuals were physically attractive. Humorous individuals were perceived to be more cheerful but less intellectual than nonhumorous individuals. The Social Transformation Model appears to be a valuable way of looking at the interaction of humor and physical attractiveness. Directions for future research based on this model are discussed.",106116269,99,45,
10.1177/02654075221090494,How gender role stereotypes affect attraction in an online dating scenario: A replication and extension,"Kelsey C. Chappetta, Joan M. Barth",(missing journal),2022,"Two studies with racially diverse samples examined the effects of gender role congruence on romantic interest in online dating profiles. Study 1 ( N = 429, 55% male) was a replication and extension of Chappetta, K. C., &amp; Barth, J. M. (2016). How gender role stereotypes affect attraction in an online dating scenario. Computers in Human Behavior, 63, 738–746 and examined the effects of profile gender role congruence, physical attractiveness, and a person’s own gender stereotypical characteristics on romantic interest in young adults. Participants viewed online dating profiles that varied in physical attractiveness and adherence to gender role norms. Attractive and gender role incongruent profiles were preferred over average-looking and gender role congruent profiles, but the latter effect was driven by women. The difference in preference for attractive and average-looking profiles was greater for women than for men. Women’s preferences for incongruent profiles were associated with self-reported feminine traits, but preference for congruent profiles was associated with self-reported masculine traits. Study 2 ( N = 958, 50.6% male) removed the profile photos to provide a better test of the influence of gender role congruence. Study 1 results replicated: Incongruent profiles were preferred over congruent profiles, primarily for women, and women’s masculine and feminine traits were associated with preferences for congruent and incongruent profiles, respectively, supporting the idea that attraction is based on perceived similarities. Men’s preference for both congruent and incongruent profiles was related to holding feminine communal traits and egalitarian gender role beliefs. Women’s preference for gender role incongruent profiles was robust across three studies. There was no support for predictions from social role theory that people prefer gender role congruence.",68532309,11,56,
10.1016/J.INTELL.2011.03.006,"Humor ability reveals intelligence, predicts mating success, and is higher in males","Gil Greengross, Geoffrey P. Miller",(missing journal),2011,"A good sense of humor is sexually attractive, perhaps because it reveals intelligence, creativity, and other ‘good genes’ or ‘good parent’ traits. If so, intelligence should predict humor production ability, which in turn should predict mating success. In this study, 400 university students (200 men and 200 women) completed measures of abstract reasoning (Raven's Advanced Progressive Matrices), verbal intelligence (the vocabulary subtest of the Multidimensional Aptitude Battery), humor production ability (rated funniness of captions written for three cartoons), and mating success (from the Sexual Behaviors and Beliefs Questionnaire). Structural equation models showed that general and verbal intelligence both predict humor production ability, which in turn predicts mating success, such as lifetime number of sexual partners. Also, males showed higher average humor production ability. These results suggest that the human sense of humor evolved at least partly through sexual selection as an intelligence-indicator.",261108446,122,14,
10.3390/EJIHPE13010012,Humor and Attachment: Exploring the Relationships between Insecure Attachment and the Comic Styles,"Alberto Dionigi, Mirko Duradoni, Laura Vagnoli","European Journal of Investigation in Health, Psychology and Education",2023,"In this study, the relationship between individuals’ insecure attachment styles and eight comic styles was explored. A sample of 636 Italian adults (206 males, 428 females, 2 non-binary), aged 18 to 81 years (M = 41.44; DS = 13.44) completed an online survey to investigate the relationship between insecure attachment styles, namely anxious and avoidant, and the eight comic styles, clustered into lighter style (fun, benevolent humor, wit, nonsense) and darker style (irony, satire, sarcasm, cynicism). The findings of this research indicated the lighter and darker styles were differently related to the anxious and avoidant styles. The anxious attachment was negatively related to both benevolent humor and wit and positively with irony. The avoidant style was positively associated with nonsense and sarcasm, while no other relationship emerged. This research indicated that attachment orientations are associated with individual differences in the detailed differentiation of humor-related styles.",252474173,0,43,
10.1207/S15327752JPA4906_12,Humor and Interpersonal Attraction,"Bernard I. Murstein, Robert G. Brust",Journal of Personality Assessment,1985,"A humor test composed of cartoons, comic strips, and jokes was administered to 30 college couples (26 single, 4 married) who rated them for humor. Subjects also stated how much they loved and liked their partner, their probability of marrying the partner, and filled out Rubin's Liking and Love Scales. The hypotheses were that similarity of rating of the humorous stimuli would be associated with loving, liking, and predisposition to marry. Hypotheses were confirmed.",194912856,75,4,16367459
10.1177/147470490800600411,Humor as a Mental Fitness Indicator,"D. Howrigan, K. Macdonald",Encyclopedia of Evolutionary Psychological Science,2008,"To explain the pervasive role of humor in human social interaction and among mating partner preferences, Miller (2000a) proposed that intentional humor evolved as an indicator of intelligence. To test this, we looked at the relationships among rater-judged humor, general intelligence, and the Big Five personality traits in a sample of 185 college-age students (115 women, 70 men). General intelligence positively predicted rater-judged humor, independent of the Big Five personality traits. Extraversion also predicted rater-judged humor, although to a lesser extent than general intelligence. General intelligence did not interact with the sex of the participant in predicting rating scores on the humor production tasks. The current study lends support to the prediction that effective humor production acts as an honest indicator of intelligence in humans. In addition, extraversion, and to a lesser extent, openness, may reflect motivational traits that encourage humor production.",48740588,70,51,
